#gen	min	avg
519	128	185.0
520	128	185.9
521	128	179.6
522	128	181.375
523	128	179.2
524	128	170.875
525	128	179.175
526	128	177.325
527	128	187.8
528	128	178.375
529	128	179.125
530	128	183.0
531	128	173.875
532	128	171.45
533	128	178.125
534	128	172.6
535	128	171.725
536	128	171.4
537	128	175.9
538	128	181.375
539	128	173.75
540	128	176.875
541	128	171.65
542	128	173.675
543	128	180.825
544	128	180.875
545	128	179.1
546	128	176.8
547	128	184.4
548	128	177.675
549	128	175.2
550	128	177.425
551	128	178.45
552	128	174.15
553	128	178.35
554	128	168.475
555	128	175.825
556	128	173.775
557	128	172.3
558	128	181.45
559	128	173.3
560	128	176.9
561	128	180.15
562	128	180.15
563	128	179.45
564	128	184.825
565	128	187.75
566	128	174.25
567	128	175.575
568	128	174.675
569	128	172.45
570	128	178.45
571	128	183.7
572	128	180.35
573	128	181.65
574	128	181.175
575	128	172.925
576	128	171.95
577	128	171.55
578	128	178.325
579	128	180.45
580	128	175.4
581	128	178.675
582	128	179.3
583	128	177.775
584	128	177.9
585	128	175.75
586	128	169.3
587	128	173.525
588	128	177.85
589	128	171.025
590	128	179.15
591	128	182.625
592	128	182.425
593	128	174.975
594	128	175.425
595	128	185.425
596	128	174.925
597	128	175.5
598	128	176.875
599	128	185.75
600	128	175.175
601	128	176.425
602	128	176.275
603	128	182.15
604	128	180.725
605	128	179.575
606	128	177.25
607	128	169.35
608	128	176.725
609	128	170.875
610	128	178.325
611	128	177.975
612	128	179.825
613	128	177.15
614	128	176.275
615	128	175.125
616	128	185.875
617	128	177.4
618	128	181.225
619	128	180.05
620	128	173.7
621	128	178.075
622	128	175.525
623	128	176.175
624	128	178.45
625	128	184.4
626	128	181.775
627	128	175.65
628	128	174.15
629	128	174.4
630	128	168.9
631	128	185.175
632	128	180.55
633	128	174.35
634	128	172.75
635	128	176.875
636	128	172.675
637	128	177.85
638	128	171.2
639	128	185.05
640	128	175.2
641	128	178.225
642	128	175.675
643	128	176.15
644	128	167.3
645	128	183.775
646	128	178.5
647	128	175.125
648	128	171.7
649	128	178.15
650	128	176.3
651	128	176.1
652	128	175.55
653	128	177.825
654	128	177.85
655	128	175.85
656	128	173.275
657	128	172.95
658	128	177.1
659	128	174.275
660	128	181.825
661	128	176.175
662	128	175.9
663	128	178.2
664	128	173.125
665	128	172.95
666	128	182.225
667	128	179.675
668	128	170.875
669	128	170.85
670	128	182.175
671	128	172.375
672	128	175.275
673	128	172.25
674	128	178.6
675	128	174.375
676	128	186.1
677	128	173.2
678	128	169.65
679	128	181.8
680	128	177.5
681	128	179.525
682	128	174.75
683	128	178.375
684	128	171.175
685	128	185.125
686	128	180.55
687	128	178.675
688	128	174.875
689	128	176.35
690	128	173.075
691	128	182.125
692	128	184.625
693	128	178.9
694	128	175.325
695	128	174.125
696	128	170.45
697	128	174.275
698	128	176.45
699	128	183.15
700	128	167.3
701	128	181.225
702	128	172.125
703	128	180.325
704	128	179.375
705	128	175.85
706	128	172.15
707	128	178.7
708	128	180.35
709	128	177.0
710	128	171.85
711	128	176.375
712	128	184.925
713	128	180.55
714	128	172.775
715	128	175.425
716	128	174.275
717	128	174.7
718	128	175.225
719	128	179.375
720	128	174.225
721	128	172.275
722	128	175.525
723	128	182.65
724	128	174.4
725	128	180.7
726	128	177.825
727	128	180.15
728	128	176.95
729	128	178.45
730	128	169.1
731	128	177.15
732	128	183.0
733	128	170.525
734	128	177.3
735	128	181.0
736	128	183.55
737	128	184.3
738	128	183.525
739	128	179.175
740	128	167.025
741	128	168.7
742	128	177.325
743	128	182.575
744	128	177.95
745	128	179.55
746	128	171.925
747	128	178.325
748	128	174.075
749	128	168.675
750	128	173.425
751	128	176.025
752	128	178.3
753	128	179.675
754	128	180.075
755	128	175.025
756	128	172.975
757	128	177.575
758	128	176.25
759	128	171.6
760	128	175.15
761	128	182.45
762	128	175.275
763	128	174.525
764	128	177.9
765	128	174.45
766	128	182.5
767	128	174.25
768	128	175.65
769	128	181.1
770	128	184.625
771	128	177.3
772	128	171.875
773	128	179.125
774	128	174.0
775	128	172.675
776	128	177.35
777	128	173.775
778	128	169.375
779	128	171.3
780	128	179.375
781	128	179.6
782	128	173.575
783	128	180.475
784	128	171.125
785	128	175.45
786	128	177.25
787	128	176.8
788	128	175.625
789	128	180.875
790	128	177.75
791	128	178.075
792	128	177.5
793	128	176.225
794	128	180.475
795	128	182.225
796	128	179.925
797	128	172.45
798	128	174.275
799	128	176.25
800	128	172.375
801	128	171.2
802	128	180.475
803	128	175.0
804	128	179.3
805	128	183.0
806	128	178.3
807	128	183.4
808	128	170.225
809	128	167.625
810	128	186.725
811	128	176.5
812	128	173.8
813	128	174.825
814	128	175.5
815	128	167.9
816	128	176.525
817	128	174.775
818	128	181.4
819	128	180.4
820	128	186.55
821	128	174.7
822	128	174.75
823	128	177.0
824	128	175.625
825	128	179.875
826	128	178.15
827	128	176.35
828	128	175.8
829	128	172.85
830	128	171.0
831	128	172.575
832	128	177.025
833	128	180.65
834	128	181.75
835	128	177.975
836	128	176.5
837	128	178.4
838	128	185.925
839	128	178.75
840	128	177.5
841	128	178.575
842	128	174.0
843	128	175.5
844	128	182.225
845	128	181.25
846	128	180.225
847	128	179.8
848	128	176.75
849	128	170.775
850	128	179.875
851	128	182.425
852	128	173.45
853	128	182.425
854	128	175.95
855	128	174.225
856	128	171.9
857	128	178.9
858	128	167.575
859	128	172.825
860	128	180.65
861	128	177.725
862	128	176.425
863	128	176.15
864	128	180.5
865	128	178.125
866	128	174.45
867	128	180.875
868	128	178.15
869	128	182.5
870	128	185.275
871	128	178.95
872	128	178.375
873	128	173.975
874	128	175.7
875	128	175.8
876	128	173.25
877	128	185.2
878	128	178.725
879	128	179.025
880	128	175.7
881	128	176.175
882	128	175.625
883	128	181.3
884	128	171.2
885	128	177.75
886	128	183.05
887	128	174.875
888	128	184.475
889	128	173.7
890	128	172.75
891	128	181.15
892	128	172.125
893	128	175.7
894	128	177.875
895	128	180.725
896	128	177.225
897	128	176.325
898	128	174.6
899	128	168.375
900	128	176.3
901	128	176.575
902	128	171.35
903	128	171.225
904	128	172.475
905	128	175.0
906	128	176.025
907	128	183.25
908	128	175.75
909	128	178.1
910	128	177.075
911	128	170.0
912	128	179.3
913	128	176.45
914	128	169.925
915	128	173.475
916	128	171.375
917	128	174.475
918	128	180.45
919	128	173.1
920	128	179.925
921	128	167.1
922	128	181.25
923	128	168.725
924	128	171.2
925	128	180.45
926	128	179.625
927	128	177.825
928	128	170.0
929	128	172.975
930	128	183.825
931	128	168.125
932	128	171.05
933	128	173.55
934	128	178.275
935	128	174.275
936	128	179.85
937	128	177.225
938	128	173.575
939	128	181.625
940	128	171.975
941	128	176.25
942	128	171.4
943	128	178.725
944	128	177.525
945	128	177.7
946	128	171.625
947	128	179.325
948	128	179.625
949	128	174.8
950	128	167.875
951	128	177.1
952	128	180.0
953	128	183.475
954	128	176.175
955	128	174.4
956	128	173.275
957	128	176.45
958	128	174.55
959	128	173.225
960	128	177.475
961	128	171.225
962	128	173.35
963	128	170.175
964	128	174.7
965	128	173.825
966	128	177.65
967	128	178.425
968	128	170.775
969	128	169.725
970	128	178.75
971	128	166.525
972	128	172.25
973	128	175.775
974	128	172.25
975	128	183.225
976	128	181.925
977	128	172.325
978	128	180.075
979	128	174.3
980	128	177.3
981	128	172.5
982	128	174.525
983	128	178.675
984	128	179.475
985	128	176.0
986	128	177.8
987	128	173.85
988	128	167.65
989	128	174.975
990	128	179.2
991	128	175.675
992	128	175.775
993	128	175.0
994	128	183.475
995	128	174.9
996	128	178.475
997	128	174.6
998	128	175.425
999	128	173.475
best route:
Brasília -> Belo Horizonte -> Rio de Janeiro -> São Paulo -> Porto Alegre -> Salvador -> Santiago -> Lima -> Bogotá -> Caracas -> Brasília
with total distance: 128
