#gen	min	avg
758	128	240,875
759	128	236,2
760	128	229,925
761	128	228,475
762	128	222,075
763	128	223,85
764	128	218,525
765	128	226,075
766	128	214,625
767	128	208,375
768	128	204,0
769	128	190,425
770	128	199,2
771	128	195,7
772	128	193,575
773	128	206,575
774	128	197,4
775	128	210,925
776	128	209,575
777	128	214,4
778	128	218,575
779	128	210,15
best route:
Brasília -> Caracas -> Bogotá -> Lima -> Santiago -> Salvador -> Porto Alegre -> São Paulo -> Rio de Janeiro -> Belo Horizonte -> Brasília
with total distance: 128
